bhk,price,size,location
3,130,2063,ZOO ROAD
3,118,1914,RUPNAGAR
3,65.4,877,AHOM GAON
2,41,936,HATIGAON
3,62,950,PANJABARI
2,47.3,1050,GHORAMARA
3,65.2,1003,HATIGAON
3,97,1250,SIX MILE
3,44,1036,KHARGHULI HILLS
3,85,1540,HENGRABARI
3,48,1300,BELTOLA
2,40,800,LOKHRA
3,95,1700,SIX MILE
2,64,1534,KAHILIPARA
2,51.7,675,KAHILIPARA
3,70.7,1026,KAHILIPARA
2,48,1005,TARUN NAGAR
2,45,960,BORMOTORIA
3,69.4,1443,SIX MILE
3,47,1200,LOKHRA
3,75,1200,SIX MILE
3,81.9,1365,UZAN BAZAR
3,77.1,1285,UZAN BAZAR
2,55.2,920,UZAN BAZAR
3,65,1350,DISPUR
3,88,1230,DOWNTOWN
3,76,1255,KAMAKHYA NAGAR
3,60,930,GUWAHATI
3,69.6,1240,VIP ROAD
2,53.3,711,KAHILIPARA
2,50,850,SIX MILE
3,65.7,1325,JALUKBARI
3,67.6,1202,LOKHRA ROAD
3,63,1250,CHANDMARI
2,46,800,SIX MILE
3,81.9,1365,UZAN BAZAR
3,77.1,1285,UZAN BAZAR
2,55.2,920,UZAN BAZAR
3,50.4,965,GHORAMARA
4,120,1450,ZOO ROAD
3,91.3,1384,UZAN BAZAR
3,90.1,1365,UZAN BAZAR
3,84.8,1285,UZAN BAZAR
3,53,850,VIP ROAD
3,56,920,VIP ROAD
6,2000,4500,DIGHALIPUKHURI
3,76,1000,ZOO ROAD
3,46.6,1225,LOKHRA
3,54,1100,JALUKBARI
2,52.6,990,VIP ROAD
3,85,1200,JAYANAGAR
3,67,969,BHANGAGARH
4,119,2200,KALA PAHAR
3,64.5,1013,DOWNTOWN
2,45.4,760,DOWNTOWN
3,55.2,865,DOWNTOWN
3,63,1100,KAHILIPARA
3,64.6,902,PANJABARI
3,52.5,1089,BARSAPARA
2,98.6,1374,ZOO TINIALI
3,55,1050,BELTOLA
3,62.9,875,PANJABARI
3,45,920,PATHAR QUARRY
3,70.5,968,SIX MILE
4,175,2695,BELTOLA
2,59.8,720,ZOO ROAD
3,60,850,LACHIT NAGAR
4,93.2,1300,BELTOLA
3,84.1,1640,KALA PAHAR
3,81,1177,LACHIT NAGAR
3,70,938,KHANAPARA
2,33,566,KAHIKUCHI
3,65.6,917,PANJABARI
2,50,1050,ULUBARI
3,64,892,PANJABARI
3,57.9,813,JALUKBARI
3,60.8,1266,HATIGAON
3,63.8,889,PANJABARI
3,65,1150,KAHILIPARA
3,84.8,1060,KAHILIPARA
3,55,976,JALUKBARI
1,27,521,JALUKBARI
1,27.1,521,JALUKBARI
3,41.6,885,JALUKBARI
2,51.1,1090,JALUKBARI
3,45.7,885,JALUKBARI
3,63.4,1325,GANESHPARA
2,57.9,720,KAHILIPARA
3,60,1000,RUKMINI GAON
3,84.9,1055,BELTOLA
2,55,850,HATIGAON
2,48,850,KAHILIPARA
1,10,200,GUWAHATI
3,72.1,1310,ZOO ROAD
3,90,1000,KHANAPARA
3,43.9,760,AZARA
3,45,760,KHANAPARA
2,60,1000,CHRISTIAN BASTI
2,52,950,KAHILIPARA
2,48,986,PANJABARI
2,65,1118,BHETAPARA
2,33.3,568,AZARA
2,49,618,PANDU
2,53,1199,GUWAHATI
3,70,1100,KAHILIPARA
3,50.4,923,AZARA
2,54,830,LAL GANESH
3,70,1200,GUWAHATI
2,40,700,KAHILIPARA
2,50,1205,HATIGAON
3,78.6,1289,GANDHI BASTI
3,100,1062,KAHILIPARA
2,65,985,BHANGAGARH
2,52,800,BHETAPARA
3,88,1600,BELTOLA
2,55,1200,ULUBARI
3,98.2,1889,SIX MILE
3,52.9,1192,LOKHRA
2,38,680,KAHILIPARA
2,65.1,1138,NALAPARA
3,66,849,PANDU
3,49.5,1200,LAL GANESH
2,36.9,595,DHARAPUR
2,55,1100,NALAPARA
4,128,2927,BHETAPARA
1,30,750,GUWAHATI
3,67.9,924,KAHILIPARA
2,40.9,1075,JALUKBARI
2,43,779,JATIA
3,65,1000,SURVEY
2,42.2,1110,JALUKBARI
3,62.7,1115,BORMOTORIA
4,153,3200,PANJABARI
3,72.8,1050,VIP ROAD
2,34,618,KAHIKUCHI
3,70,1459,GS ROAD
3,56,1367,DOWNTOWN
4,90,1846,LOKHRA ROAD
2,38.1,890,AHOM GAON
3,41,716,KAHIKUCHI
3,43.9,760,KAHIKUCHI
3,105,2850,VIP ROAD
3,69,1500,CHANDMARI
3,70,1150,CHANDMARI
2,50,950,HATIGAON
3,75,1560,RUKMINI GAON
3,62,1100,BELTOLA
3,61.2,1360,BHETAPARA
4,90,1846,LOKHRA ROAD
3,55,1300,KAHILIPARA
3,55.5,1300,PANJABARI
3,42.7,757,KAHIKUCHI
2,42,750,BELTOLA
2,37,900,KAHILIPARA
4,107,1800,PANJABARI
3,54,910,DHIRENPARA
3,58,1100,BELTOLA
2,52.8,722,KAHILIPARA
3,50.4,923,KAHIKUCHI
3,55,1150,KAHILIPARA
2,57,722,KAHILIPARA
2,48.6,639,KHANAPARA
2,50.7,780,BAGHARBARI
3,76.5,1382,KAHILIPARA
3,47.5,970,GHORAMARA
3,62.4,1558,HATIGAON
1,37,870,GUWAHATI
3,52,1055,JALUKBARI
3,68,1100,HATIGAON
3,44.3,790,KAHIKUCHI
6,150,3100,BELTOLA
2,34,538,DHARAPUR
2,38,603,KHANAPARA
3,69,1390,GANESHGURI
3,78,1350,BELTOLA
3,85,1200,JAYANAGAR
3,75,1300,DISPUR
3,68,1250,JANAKPUR
3,49.2,1295,JALUKBARI
3,49.2,1295,JALUKBARI
2,54.6,1138,NALAPARA
3,68,1430,BELTOLA
3,90,1200,AZARA
2,50,901,PATOR KUCHI
3,74.3,964,PATHAR QUARRY
3,69.8,952,KAHILIPARA
3,78.4,1078,KAHILIPARA
4,140,1202,REHABARI
3,50,1150,RUKMINI GAON
3,87.4,1578,GEETANAGAR
3,51.6,844,JALUKBARI
2,42,1200,SARABBHATI
3,83,1384,UZAN BAZAR
2,40,900,BHETAPARA
3,56.5,990,VIP ROAD
3,50,1350,LANKESHWAR
3,52.2,1306,9TH MILE
3,51,1276,9TH MILE
4,180,1800,BELTOLA
2,42.6,1064,9TH MILE
2,39.9,997,9TH MILE
1,17.8,445,9TH MILE
3,52.3,1306,9TH MILE
2,42.6,1064,9TH MILE
2,39.9,997,9TH MILE
3,70,1000,SIX MILE
2,75,810,KAHILIPARA
3,60,900,RAJGARH ROAD
3,47,1236,LOKHRA
3,91.3,1384,UZAN BAZAR
3,90.1,1365,UZAN BAZAR
3,84.8,1285,UZAN BAZAR
2,36.5,689,LOKHRA
3,80.6,1726,DATALPARA
3,85.6,1711,NOONMATI
3,52,1100,KAHILIPARA
3,41,644,DHARAPUR
4,100,1755,SIX MILE
4,131,2310,BIRUBARI
3,70,1420,JALUKBARI
2,52,1250,HATIGAON
2,45,1050,VIP ROAD
3,50,1280,AZARA
3,34,948,DHARAPUR
2,37.5,691,GHORAMARA
3,52,1488,DHARAPUR
3,82,1314,SARABBHATI
3,72,1500,PANJABARI
3,42.9,1100,LAL GANESH
3,56.5,855,LOKHRA
3,55,950,TARUN NAGAR
3,57.5,1300,GHORAMARA
2,41,800,JALUKBARI
2,46,700,DOWNTOWN
3,69.7,1405,BAMUNIMAIDAM
2,44.8,762,BHETAPARA
3,57,1147,SIX MILE
3,71,1199,PANJABARI BUS STAND
4,60,1050,GOTANAGAR
3,64.4,840,BHETAPARA
2,60.2,1113,BORMOTORIA
2,73.5,1361,BORMOTORIA
3,45,1400,CHRISTIAN BASTI
3,99.5,1086,SANTIPUR
3,83.6,968,BIRUBARI
2,33.9,600,DHARAPUR
3,55,1100,SIX MILE
2,42,819,NOONMATI
3,61,1270,HATIGAON
3,60.1,1245,HATIGAON
2,41.7,752,MALIGAON
2,45,943,HATIGAON
3,54.5,1200,KHANAMUKH
3,45,1145,DISPUR
3,63,1060,DISPUR
2,40,980,SAWKUCHI
2,45,670,JALUKBARI
3,47,700,JALUKBARI
3,56,977,PANJABARI
3,60.3,1300,GANESHPARA
2,47.4,800,BAGHARBARI
3,40,1200,LANKESHWAR
3,65,1446,SARUSAJAI
3,61.1,1270,HATIGAON
3,60,1245,HATIGAON
3,50,900,HATIGAON
3,44,1000,PANJABARI
3,60.6,1308,GANESHPARA
3,70,1400,DISPUR
3,70.3,1465,HENGRABARI
3,72,1050,BAKARAPARA
3,70.3,1355,KAHILIPARA
3,75.5,1460,KAHILIPARA
3,80.1,1555,KAHILIPARA
3,80.4,1560,KAHILIPARA
3,87.3,1700,KAHILIPARA
3,96.2,1882,KAHILIPARA
3,80.8,1388,RAJGARH ROAD
3,70,1300,NOONMATI
3,63.9,1681,GARCHUK
3,95,1820,KAHILIPARA
2,55,1040,LAL GANESH
2,60.1,1113,BORMOTORIA
2,73.5,1361,BORMOTORIA
3,70.3,1465,DOWNTOWN
3,70.2,1355,KAHILIPARA
3,75.4,1460,KAHILIPARA
3,80.1,1555,KAHILIPARA
3,80.3,1560,KAHILIPARA
3,87.2,1700,KAHILIPARA
3,65,1216,ADABARI
2,45,620,BHETAPARA
3,85,1384,UZAN BAZAR
3,86.8,1670,BHETAPARA
3,51,700,BHETAPARA
3,70,1200,BELTOLA
1,26.1,484,BORMOTORIA
1,28.5,527,BORMOTORIA
1,33.7,624,BORMOTORIA
4,142,2960,KALA PAHAR
1,22.5,320,JALUKBARI
3,72,1200,KAHILIPARA
2,85,1359,HATIGAON
3,58.5,888,LOKHRA
3,55,1306,GHORAMARA
3,62.8,845,BELTOLA
2,28,700,ADAGUDAM
3,58,900,GEETANAGAR
2,35,650,NALAPARA
2,33,849,DHARAPUR
3,66,1150,KAHILIPARA
3,50,1326,LOKHRA
3,54.9,1193,LALMATI
2,47.9,1036,LALMATI
3,57,1280,LAL GANESH
3,79.2,970,KAHILIPARA
2,31.9,798,AHOM GAON
2,43.1,957,BELTOLA
3,61.3,1362,BELTOLA
3,62.3,1385,BELTOLA
3,59.4,1320,BELTOLA
3,62,1239,KAHILIPARA
3,75,1610,BEHARBARI CHARIALI
3,47,1000,PANJABARI
3,65.7,919,PANJABARI
3,48.8,1220,AHOM GAON
3,70,985,PANJABARI
3,61.2,893,LAKHIMI NAGAR
3,78.2,1108,DATALPARA
2,56.2,1080,BHETAPARA
3,54.6,800,GOTANAGAR
3,55,950,DOWNTOWN
2,48.7,648,DATALPARA
2,45,1010,BHETAPARA
3,150,1485,BELTOLA
2,40.7,872,KAHILIPARA
3,77.2,1141,LAKHIMI NAGAR
3,72.3,915,BELTOLA
3,47,950,JALUKBARI
3,116,1137,BELTOLA
3,90,1450,GUWAHATI
3,50,1200,BELTOLA
3,52,1050,AHOM GAON
3,66.8,923,PANJABARI
3,70,1150,DISPUR
3,65,1200,DOWNTOWN
3,62.3,893,LAKHIMI NAGAR
2,65,900,GUWAHATI
3,65.1,945,LAKHIMI NAGAR
3,79,1184,LAKHIMI NAGAR
2,37,850,PRAGJYOTISH NAGAR
3,46,828,ODALBAKRA
3,83,1384,UZAN BAZAR
2,50,770,BHANGAGARH
2,47.7,715,GANESHPARA
3,60,1000,SIX MILE
3,75,1585,BHETAPARA
3,48,1090,PANJABARI BUS STAND
2,40,800,HATIGAON
3,52,1000,VIP ROAD
2,46,888,BELTOLA
2,39,565,LAL GANESH
3,67,1400,LAKHIMI NAGAR
3,76,1713,VIP ROAD
3,74.6,1061,SIX MILE
2,39.6,880,DOWNTOWN
2,47,850,HATIGAON
3,56.3,1250,DOWNTOWN
2,40,911,KHANAPARA
3,65,1200,GHORAMARA
2,70,1465,LALMATI
2,52.1,975,DOWNTOWN
2,52.1,975,DOWNTOWN
2,52.2,975,DOWNTOWN
3,69.6,1341,DOWNTOWN
3,69.7,1341,DOWNTOWN
3,69.7,1341,DOWNTOWN
3,70.8,1365,DOWNTOWN
3,70.8,1365,DOWNTOWN
3,70.9,1365,DOWNTOWN
3,75,1330,BELTOLA
3,82,1350,NEW SARANIA
2,43,800,DOWNTOWN
3,45.5,792,JALUKBARI
3,61.8,1334,GANESHPARA
3,90,1200,SIX MILE
3,78.5,1246,HATIGAON
3,64,1660,DHARAPUR
2,49,1000,HATIGAON
3,64.6,870,NAVAGRAHA ROAD
3,74.6,1080,BELTOLA
2,50,800,LALMATI
3,62,1230,LAL GANESH
3,59.7,1297,LOKHRA ROAD
3,95.2,1656,GANESHGURI
2,32,1050,KAHILIPARA
2,26,687,PANIKHAITI
2,56.4,885,CHANDMARI
3,47,1168,DHARAPUR
3,49,1100,PANJABARI
3,65,1332,RAJGARH ROAD
3,90,1400,GANESHGURI
2,38.6,935,CHANDMARI
2,23,500,GUWAHATI
3,56,1200,VIP ROAD
4,65,1300,JALUKBARI
3,75,1537,JAYANAGAR
4,30,1900,DISPUR
3,76.2,1150,CHANDMARI
2,50,800,CHANDMARI
2,30,850,LAL GANESH
3,84.3,1453,GANESHGURI
2,64.5,1112,GANESHGURI
3,56.3,1100,NOONMATI
2,49,629,JALUKBARI
3,52.2,761,JALUKBARI
3,60.2,865,JALUKBARI
2,44,810,SIX MILE
3,56,1140,SIX MILE
2,45,900,HATIGAON
2,52,1150,ZOO ROAD
3,60,1150,MALIGAON
2,57.1,838,BORSOJAI
2,37.7,748,NALAPARA
3,50,1150,SATGAON
2,48.6,706,JALUKBARI
2,49.4,800,BELTOLA
3,52,1250,DHARAPUR
2,50,1150,HATIGAON
3,88.2,1593,GEETANAGAR
1,31.5,453,JALUKBARI
2,40,900,SATGAON
3,48,1000,SATGAON
3,65,985,PANJABARI
3,65,966,SURVEY
3,80,1400,GS ROAD
3,65,1460,NOONMATI
2,50,800,AMBIKAGIRINAGAR
2,50,1150,BORBARI
3,82.2,1490,ULUBARI
3,48,1085,PANJABARI
3,75.1,1080,HENGRABARI
3,56,1248,LAL GANESH
2,34.1,849,DHARAPUR
3,44,1182,DHARAPUR
3,44,999,DHARAPUR
3,57,1261,LAL GANESH
4,91,1592,PANJABARI
3,57.6,1041,PANJABARI
3,65,1393,VIP ROAD
3,40,850,BHASKAR NAGAR
3,67.9,807,RAJGARH ROAD
3,63.4,992,BAGHARBARI
3,80,1400,KAHILIPARA
2,52.3,1027,KAHILIPARA
3,65,1100,GANESHGURI
2,46,1030,BHETAPARA
3,52.1,898,HATIGAON
2,40,700,BHETAPARA
2,38.4,863,LALMATI
1,150,1500,ULUBARI
1,26,533,KHANAPARA
3,65.3,1360,BHETAPARA
3,58,1000,TARUN NAGAR
3,41.7,681,BELTOLA
4,56,1675,AZARA
3,54,950,TARUN NAGAR
2,45,790,PALTAN BAZAAR
3,74,1150,SIX MILE
3,34.1,645,DHARAPUR
3,85,1378,PANJABARI
3,50,1100,PANJABARI
3,52.8,837,BELTOLA
3,69.6,1450,BHETAPARA
4,117,1302,FATASIL AMBARI
3,93.7,1039,FATASIL AMBARI
1,24,300,PANJABARI
3,55,850,DISPUR
3,61,1000,BASISTHA
1,24.5,374,KHANAPARA
2,85,900,SURVEY
3,46.7,725,NOONMATI
3,59.6,960,LALMATI
3,60,1294,GANESHPARA
3,61.4,1340,AHOM GAON
3,62,1105,GHORAMARA
3,135,1600,HENGRABARI
3,96,1557,KHARGHULI HILLS
3,54.4,887,LAL GANESH
2,40,870,PANJABARI
3,73,1365,HENGRABARI
3,74.3,1054,DHIRENPARA
3,74.5,1001,DHIRENPARA
3,52.8,1284,BASISTHA
3,61,1000,BAISISTHA
4,102,1418,DHIRENPARA
2,38.9,677,9TH MILE
3,60.5,1041,PANJABARI
3,51,1150,SURVEY
3,74,948,JALUKBARI
3,74.3,1130,PANJABARI
3,61.2,1087,GEETANAGAR
3,58.3,1300,KHANAMUKH
3,52.4,1270,BAGHARBARI
3,86.2,1554,GEETANAGAR
3,80,1150,CHRISTIAN BASTI
3,84,1200,JAYANAGAR
3,54,1200,NARENGI TINALI
4,60,1200,9TH MILE
3,60,1100,KAHILIPARA
3,65,1200,SIX MILE
3,60,1000,SIX MILE
3,49.6,785,SATGAON
2,33,703,DHARAPUR
3,65.5,1363,DOWNTOWN
3,75,1050,GUWAHATI
2,56.8,1530,KAHILIPARA
3,79.5,1419,GEETANAGAR
2,44.8,675,DHARAPUR
3,162,3085,GEETANAGAR
3,164,3126,GEETANAGAR
3,68.7,1527,BHETAPARA
3,67,1070,SIX MILE
2,42.3,765,JALUKBARI
1,28,700,BELTOLA
3,76.5,1359,GEETANAGAR
2,45.2,631,JALUKBARI
2,56.3,1043,BARSAPARA
2,38.8,947,KHANAPARA
3,76,1100,BHANGAGARH
3,75,1637,ABC POINT
3,76.2,1354,GEETANAGAR
3,76.5,1359,GEETANAGAR
3,77.8,1386,GEETANAGAR
3,79.5,1419,GEETANAGAR
3,86.2,1554,GEETANAGAR
3,86.7,1564,GEETANAGAR
3,72,1100,DISPUR
3,88.2,1593,GEETANAGAR
3,76.3,1354,GEETANAGAR
3,76.5,1359,GEETANAGAR
3,77.9,1386,GEETANAGAR
3,126,2353,GEETANAGAR
2,43,780,KAHILIPARA
3,70,1080,BELTOLA
3,52.1,1126,9TH MILE
3,86.8,1566,GEETANAGAR
3,87,1570,GEETANAGAR
3,87.4,1578,GEETANAGAR
2,55,750,DISPUR
3,79.5,1419,GEETANAGAR
3,86.3,1554,GEETANAGAR
1,30.7,575,JALUKBARI
2,38,850,KAHILIPARA
2,55.8,1115,BIRUBARI
3,63,1465,BELTOLA
3,45,1200,MALIGAON
3,63.1,1467,BELTOLA
3,112,1300,BHANGAGARH
3,67.7,1575,BELTOLA
3,61.7,1435,BELTOLA
3,73,1030,DHIRENPARA
2,61.5,845,DHIRENPARA
4,102,2135,PANJABARI
4,81,1883,BELTOLA
3,71.7,966,DHIRENPARA
3,48,913,DHARAPUR
3,77.4,1047,DHIRENPARA
2,49,783,NARENGI TINALI
3,68.9,972,ULUBARI
2,49,1050,GHORAMARA
3,75.4,1054,SIX MILE
2,44,1023,BELTOLA
3,52.8,1005,JALUKBARI
1,25.5,380,BHANGAGARH
2,56.1,1005,LALMATI
3,48.7,1207,BASISTHA
2,37.5,906,BASISTHA
2,46.5,800,GANDHI BASTI
3,44.3,1155,AZARA
3,90.8,1650,BIRUBARI
3,60,750,LOKHRA ROAD
3,65,1260,ULUBARI
2,47,720,DHARAPUR
3,88,1233,SIX MILE
3,64.1,1490,BELTOLA
3,63.5,1477,BELTOLA
3,58.2,1108,JALUKBARI
2,25,720,JYOTIKUCHI
3,154,2188,ZOO TINIALI
3,63.3,1472,BELTOLA
3,65,1250,HENGRABARI
2,43,800,SIX MILE
3,105,1100,TARUN NAGAR
3,60,1200,BAMUNIMAIDAM
3,54,945,GOTANAGAR
3,75,1248,CHANDMARI
3,45,965,AZARA
4,160,2500,GANESHGURI
3,232,2900,KHARGHULI HILLS
3,111,1851,KHARGHULI HILLS
3,62.6,813,VIP ROAD
3,76.5,1500,SIX MILE
3,86,1520,GANDHI BASTI
2,56.8,997,KAHILIPARA
3,63.5,1040,LAKHIMI NAGAR
3,55.6,1053,BELTOLA
3,66,1310,PANJABARI
3,54.6,1250,HATIGAON
3,51,920,HATIGAON
3,42,913,KAHIKUCHI
3,98,1200,REHABARI
3,50,1000,JALUKBARI
3,44.8,732,BELTOLA
2,47,902,HATIGAON
3,76.9,1303,ZOO TINIALI
3,44.9,734,BELTOLA
3,53,900,KHANAPARA
3,70,1475,JALUKBARI
3,62.8,1428,SIX MILE
2,35,571,BELTOLA
3,78.2,1630,PANJABARI
3,70,994,JALUKBARI
3,64.9,1325,HATIGAON
3,55.1,1225,LAL GANESH
3,92.9,1498,KHARGHULI HILLS
3,51,1200,KHANAPARA
3,96.4,1606,KHARGHULI HILLS
3,82.8,1725,PANJABARI
1,19.3,315,BELTOLA
3,58,950,BELTOLA
2,49.7,757,BAGHARBARI
2,58.8,996,ZOO TINIALI
2,43.2,900,PANJABARI
3,80,1250,BAISISTHA
4,180,1675,SATGAON
3,90,1740,VIP ROAD
3,31,1150,KAHILIPARA
3,63.2,816,PANJABARI
4,202,2502,ZOO ROAD
2,31.6,510,SATGAON
3,64.4,1342,DOWNTOWN
3,48.3,835,LOKHRA
3,85.7,1429,KHARGHULI HILLS
2,72.8,1213,KHARGHULI HILLS
3,5,1350,GUWAHATI
3,62,1150,BHETAPARA
2,46.8,975,DOWNTOWN
3,60,1250,GUWAHATI
3,81.7,1404,RAJGARH ROAD
3,48.6,980,LOKHRA
3,88.2,1522,RAJGARH ROAD
2,41.4,640,SATGAON
3,78,1625,NOONMATI
3,73.8,1308,BELTOLA
3,53.2,885,SATGAON
2,40,1090,JALUKBARI
2,42.4,715,SATGAON
3,49.5,1201,KHANAPARA
3,63.6,1014,DHARAPUR
3,152,2874,GEETANAGAR
3,153,2890,GEETANAGAR
3,58,838,DHARAPUR
2,49,990,DHARAPUR
3,67.9,953,LAL GANESH
3,54,880,BHANGAGARH
2,33.4,545,BELTOLA
3,59.3,951,JALUKBARI
3,126,1775,ZOO TINIALI
3,54,1000,HATIGAON
3,77.8,1386,GEETANAGAR
3,60,1265,DHARAPUR
1,22,302,DHARAPUR
2,42,556,JALUKBARI
3,65,1300,BARSAPARA
2,62,1172,KAHILIPARA
2,39.9,793,SIX MILE
2,36.2,612,DHIRENPARA
3,73.2,1525,PANJABARI
2,50,980,GANESHGURI
4,84,1500,KAHILIPARA
3,54,1000,KAHILIPARA
2,30,538,KALA PAHAR
2,54.3,1015,SOUTH SARANIA
2,32,700,GUWAHATI
2,65,1128,BELTOLA
2,600,1600,GANESHGURI
3,56.7,880,JALUKBARI
2,45,1100,ADABARI
3,55.5,1120,LAL GANESH
3,55.5,1109,KAHILIPARA
3,56,1050,SIX MILE
3,60,1000,DOWNTOWN
4,75.2,1550,KAHILIPARA
2,45,900,PANJABARI
3,73,1505,KAHILIPARA
3,50.8,800,SATGAON
3,60.8,863,JALUKBARI
3,80,1180,UZAN BAZAR
3,63,1140,CHANDMARI
2,38,855,JALUKBARI
3,69.9,1243,GEETANAGAR
3,68.3,973,GANESHGURI
2,50,640,LOKHRA
3,61.6,1050,VIP ROAD
3,57.5,1278,LAL GANESH
3,61,1250,GUWAHATI
3,51.9,743,SURVEY
3,42,913,KAHIKUCHI
2,44.7,938,GANESHPARA
2,58.9,1132,BIRUBARI
3,62,1100,KAHILIPARA
3,51,910,LAL GANESH
2,36.8,800,HATIGAON
2,39.8,700,LALMATI
2,56.8,998,KAHILIPARA
3,61.6,1048,VIP ROAD
3,98,1800,TARUN NAGAR
3,97.2,1567,PALTAN BAZAAR
2,36,770,LOKHRA
3,90.2,1504,SARABBHATI
3,62.8,1396,PANJABARI
3,70.1,955,KAHILIPARA
3,49.4,804,BORAGAON
3,40,1107,MALIGAON
2,50,932,BARSAPARA
3,57,1100,BORBARI
2,51,1000,SIX MILE
3,83.7,1555,MANPARA
4,106,2025,MANPARA
4,106,2025,MANPARA
2,41,1175,AZARA
2,58.9,950,KHARGHULI HILLS
2,38.4,615,DHARAPUR
3,90,1500,KALA PAHAR
3,73.9,1355,MANPARA
3,80.8,1495,MANPARA
2,39.3,630,BORAGAON
3,75,1460,KAHILPARA
3,80.3,1485,MANPARA
3,83.7,1555,MANPARA
3,75.2,1380,MANPARA
3,80.3,1485,MANPARA
3,57.5,1250,BAGHARBARI
3,83.5,1550,MANPARA
3,73.8,1230,BHANGAGARH
2,49.9,1189,BORSOJAI
3,83.5,1550,MANPARA
3,75.1,1380,MANPARA
2,45,850,ADABARI
2,64.5,1112,GANESHGURI
2,61,956,REHABARI
3,94.5,1670,BHETAPARA
3,75,1000,ULUBARI
3,50,920,BIRUBARI
3,47.6,820,JALUKBARI
3,47,700,KAHIKUCHI
2,39.2,872,KAHILIPARA
3,36,999,DHARAPUR
3,75,1100,SILPUKHURI
3,74.7,1494,ZOO ROAD
3,78.7,1180,GEETANAGAR
2,42.5,740,JAPORIGOG
2,45,1000,BHANGAGARH
3,65.5,1016,SURVEY
3,64.1,937,KHANAPARA
3,50.4,884,KALA PAHAR
1,26.7,475,JALUKBARI
3,51.5,920,ZOO ROAD
3,90,1600,LOKHRA
3,74,1450,GUWAHATI
3,52,900,JALUKBARI
2,58.6,1274,DHIRENPARA
3,71.2,1582,DHIRENPARA
4,88.2,1840,KHANAPARA
2,35,800,LOKHRA
3,79.5,1282,BELTOLA
3,150,1450,NAVAGRAHA ROAD
3,66.2,1180,JALUKBARI
2,32.6,579,GARCHUK
3,49.7,942,TETELIA
2,42.3,941,AZARA
2,44.2,982,AZARA
2,42.4,941,AZARA
2,44.2,982,AZARA
3,52.6,1166,AZARA
2,28,400,PATOR KUCHI
3,110,2017,ZOO ROAD
3,89.3,1137,REHABARI
3,64,1000,KALA PAHAR
3,53,1100,SIX MILE
2,36,675,LAL GANESH
2,57.6,850,VIP ROAD
3,75,1500,JALUKBARI
2,37.3,640,JALUKBARI
3,94.6,1455,BHANGAGARH
3,50,900,BELTOLA
3,48,1000,LALMATI
3,55,1000,DOWNTOWN
2,45,900,BELTOLA
2,42.4,941,AZARA
2,44.3,982,AZARA
3,51.7,1148,AZARA
3,51.7,1148,AZARA
3,51.7,1148,AZARA
3,52.5,1166,AZARA
3,52.5,1166,AZARA
3,70.9,1002,LACHIT NAGAR
3,55,800,HATIGAON
2,42,1200,SILPUKHURI
3,54,1200,SIX MILE
3,64.6,1270,PANJABARI
3,74,1557,KAHILIPARA
3,60,1025,SOUTH SARANIA
4,130,2200,KALA PAHAR
4,154,2600,KALA PAHAR
3,65,1433,LOKHRA
3,72,1435,PANJABARI
4,83,2125,KAHILIPARA
3,96,1600,KHARGHULI HILLS
2,42,780,JYOTIKUCHI
2,55,800,RUKMINI GAON
3,83.4,1525,KAHILIPARA
3,92.5,1640,KALA PAHAR
3,45.4,950,LAL GANESH
3,35,900,JALUKBARI
3,98,1800,TARUN NAGAR
2,33.9,800,LOKHRA
3,72,1360,RUKMINI GAON
3,54.5,1100,NAYANPUR
3,98,1600,ZOO ROAD
2,53,900,BHETAPARA
4,128,2180,BHANGAGARH
3,59.1,899,LOKHRA
3,41.8,749,GARCHUK
4,140,2600,KALA PAHAR
3,63.7,809,PANJABARI
2,49,733,BELTOLA
3,58,881,LOKHRA
2,42,700,DAKHINGAON
3,70,1400,JALUKBARI
3,67,1340,DISPUR
3,52,1150,JALUKBARI
3,44.7,740,GARCHUK
3,68,1340,BELTOLA
3,74.6,1156,LOKHRA
3,66.8,858,PANJABARI
2,35,1200,JALUKBARI
4,91.6,1280,KHANAPARA
3,68.2,1325,DISPUR
5,86,1860,HATIGAON
3,53,1370,BELTOLA
4,100,1500,AMBIKAGIRINAGAR
4,140,2600,KALA PAHAR
3,57,1250,HATIGAON
2,36,700,ZOO ROAD
2,55.8,823,GANESHGURI
3,76.8,1670,LOKHRA
3,61.4,823,SURVEY
4,165,2150,ATHGAON
3,71.3,1372,SOUTH SARANIA
3,61.1,1422,SIX MILE
3,52.5,1150,MALIGAON
4,157,3143,KHANAPARA
3,47,940,BORMOTORIA
3,50,1250,NALAPARA
2,52.9,1058,KHANAPARA
3,63,1355,KHANAPARA
3,58.6,700,CHANDMARI
2,58,1074,GANESHGURI
2,39.7,650,LAL GANESH
3,56.7,1222,LOKHRA
3,45.9,770,KHANAPARA
3,50,1100,GUWAHATI
3,75,1200,TARUN NAGAR
3,63,1050,DISPUR
3,75,1100,RAJGARH ROAD
3,57.5,996,KALA PAHAR
4,72,1165,BORAGAON
3,65,1357,LALMATI
3,71.8,1061,BELTOLA
3,70,1000,BELTOLA
2,56,880,BHANGAGARH
2,42,766,DHARAPUR
3,95,1480,RUKMINI GAON
3,85.9,1652,BIRUBARI
2,59,1000,RUPNAGAR
3,48,1200,ADABARI
2,35,700,NARIKAL BARI
4,121,2130,BHETAPARA
3,102,1660,ULUBARI
