bhk,price,size,location
2,52,1000,ADABARI
2,66.02,1179,GS ROAD
3,82.6,1475,GS ROAD
3,65.37,1391,SIX MILE
3,64.86,1380,BHETAPARA
2,59.7,995,VIP ROAD
2,40.59,990,GARCHUK
1,24.75,450,JALUKBARI
3,87.05,1741,SIX MILE
3,65.61,1458,SIX MILE
3,54.4,1360,GARCHUK
2,66.37,1475,JAYANAGAR
2,52.8,1100,DOWNTOWN
2,56.4,1200,CHANDMARI
3,98.46,1641,KAHILIPARA
2,46.06,940,JAYANAGAR
4,117,2345,KAHILIPARA
2,64.6,1292,RUKMINI GAON
2,39.1,850,BELTOLA
4,126,2800,KAHILIPARA
3,63.98,1391,SIX MILE
2,39.1,850,BELTOLA
4,126,2800,KAHILIPARA
3,63.98,1391,SIX MILE
3,51.17,1147,GARCHUK
2,43.71,965,GARCHUK
3,49.16,1098,GARCHUK
3,53.47,1203,GARCHUK
3,50.27,1125,GARCHUK
3,46,1385,KALYANI SAGAR PATH
3,74,1698,KAHILIPARA
3,43,1212,VIP ROAD
3,45,1212,RADHA NAGAR
3,63.36,1408,VIP ROAD
3,43.51,1176,PANJABARI ROAD
2,46.55,1058,HATIGAON
2,36,900,BHETAPARA
3,77.5,1550,VIP ROAD
2,42.57,990,SIX MILE
2,39.23,853,JALUKBARI
3,69.43,1310,DOWNTOWN
3,64.13,1210,DOWNTOWN
3,58.95,1310,KAHILIPARA
3,58.95,1310,KAHILIPARA
3,58.5,1300,KAHILIPARA
3,77.91,1590,SIX MILE
2,44.1,900,ADABARI
3,90,1500,DIGHALIPUKHURI
3,54.45,1210,KAHILIPARA
3,54,1200,KAHILIPARA
3,60,1300,KAHILIPARA ROAD
3,57.2,1300,BAMUNIMAIDAM
3,45.75,1250,KERAKUCHI
2,49.8,1200,SAWKUCHI
2,36.31,995,KERAKUCHI
3,55.76,1360,AHOM GAON
3,46,1260,AHOM GAON
2,38,1050,AHOM GAON
3,115,2100,KAHILIPARA
3,55.61,1264,BAMUNIMAIDAM
1,31.6,800,SIX MILE
2,55,1050,DISPUR
3,98.53,1670,BELTOLA
3,97.35,1650,BELTOLA
3,60.95,1150,DOWNTOWN
3,79,1580,LOKHRA
4,119,2300,PANJABARI ROAD
4,145,2350,RADHA NAGAR
2,62.5,1250,SIX MILE
3,117,1563,JAYANAGAR
3,51.6,1200,ZOO ROAD
3,44.73,1209,PANJABARI ROAD
2,52.8,1100,DOWNTOWN
3,72,1300,HATIGAON
3,67.5,1350,KAHILIPARA
2,39.23,853,JALUKBARI
2,42.57,990,SIX MILE
3,61.87,1375,SIX MILE
3,78.1,1502,HATIGAON
3,62.1,1350,HATIGAON
3,51.15,1044,VIP ROAD
3,67.2,1200,CHRISTIAN BASTI
3,110,2014,ABC GALI
3,59.85,1151,LACHIT NAGAR
3,67.44,1297,LACHIT NAGAR
3,74.1,1425,LACHIT NAGAR
2,45.4,1056,KAHILIPARA
1,23.4,450,LAL GANESH
2,66.37,1475,JAYANAGAR
3,75.21,1433,BELTOLA
2,59.73,1117,BELTOLA
2,58,1160,SIX MILE
2,66.37,1475,JAYANAGAR
2,39.11,1003,SIX MILE
4,103,2285,BELTOLA
4,81.3,1840,DISPUR
3,45.38,948,DHARAPUR
3,65.85,1400,DHARAPUR
3,51.43,778,DHARAPUR
3,61.53,1323,DHARAPUR
3,38.53,948,DHARAPUR
3,41.53,932,DISPUR
3,55.3,1400,DHARAPUR
3,71.53,1560,REHABARI
4,74.56,1958,AZARA
3,65.4,1690,DISPUR
3,74,1770,BELTOLA
3,61.35,1321,BELTOLA
4,86.56,2200,REHABARI
3,81.28,1950,KAHILIPARA
3,76.86,1695,ULUBARI
3,91.8,1985,BELTOLA
3,73.53,1337,AZARA
3,105,1340,TARUN NAGAR
4,84.55,1948,DHARAPUR
4,81,1685,NOONMATI
3,47,913,DHARAPUR
3,78,1560,SIX MILE
2,42.3,940,JAYANAGAR
3,50.87,1375,PANJABARI ROAD
3,56.35,1150,PANJABARI BUS STAND
3,56.02,1245,JAYANAGAR
3,51.75,1150,BELTOLA
2,57,1150,GS ROAD
3,49.37,1250,HATIGAON
3,85.3,1741,SIX MILE
3,60,1300,KHANAPARA
2,50,1015,SOUTH SARANIA ROAD
3,85.3,1741,SIX MILE
4,138,2300,ZOO ROAD
3,61,1300,BELTOLA
2,36,950,SACHAL PATH VIP ROAD BYLANE NUMBER 1
1,11,300,JAYANAGAR
3,57,1250,DHARAPUR
3,81.92,1463,REHABARI
1,22,550,BEHARBARI CHARIALI
3,55,1300,BAMUNIMAIDAN
2,42.6,880,BAMUNIMAIDAM
3,80,1450,BELTOLA
3,58,1450,KAMAKHYA
3,70,1350,BELTOLA
2,68,1250,UZAN BAZAR
3,46,1250,CHACHAL ROAD
3,72,1650,GANESHGURI
1,23,523,DHARAPUR
2,45,1080,REHABARI
3,51,1330,BHETAPARA GHORAMARA ROAD
4,130,2269,TARUN NAGAR
3,64.49,1424,DISPUR
2,36,942,KAHILIPARA
3,49,1470,DISPUR
2,12,540,MALIGAON
3,57,1120,BHETAPARA
4,95.5,1988,KAHILIPARA
2,49.8,994,KAHILIPARA
2,52.3,1028,KAHILIPARA
3,68.1,1393,KAHILIPARA
3,70.7,1437,KAHILIPARA
4,95.5,1988,KAHILIPARA
3,45,950,SIX MILE
2,71,1246,BHETAPARA
3,65,1200,JALUKBARI
3,61,1100,LACHIT NAGAR
3,50,1100,KAHILIPARA
3,64,1001,BETKUCHI
3,85.8,1240,SIX MILE
3,50.1,884,KALA PAHAR
2,35.4,772,KALA PAHAR
2,52.4,1140,LOKHRA
2,40.5,660,LALMATI
3,54.8,808,BETKUCHI
3,98,1681,KAHILIPARA
2,43,652,MALIGAON
3,58,1000,BELTOLA
3,70,1365,RUKMINI GAON
2,35,800,SIJUBARI
2,37,900,BHETAPARA
2,49.5,800,AZARA
2,42.5,638,AHOM GAON
3,70,1700,KAHILIPARA
3,90.7,1003,REHABARI
3,59,1404,KAHILIPARA
2,58.6,832,BELTOLA
2,58.6,832,BELTOLA
2,58.7,832,BELTOLA
2,58.7,832,BELTOLA
3,73.4,1061,BELTOLA
2,50,720,BHANGAGARH
3,64.1,1338,PANJABARI
3,67.1,1408,PANJABARI
3,69.2,1455,PANJABARI
3,39.4,1013,AZARA
2,54,970,SOUTH SARANIA
3,100,1604,RUPNAGAR
3,58.2,1200,PANJABARI
3,59,1219,PANJABARI
3,60.4,1251,PANJABARI
3,60.7,1257,PANJABARI
3,82.2,1597,KHANAPARA
2,38.1,1002,LOKHRA
4,115,1288,CHANDMARI
3,59.1,1001,BETKUCHI
2,40,1095,GUWAHATI
2,36,675,JALUKBARI
3,98.3,1369,ZOO TINIALI
3,78,1200,MATHGHARIA
3,60.9,1262,PANJABARI
3,61.2,1269,PANJABARI
3,61.2,1270,PANJABARI
3,55,845,LOKHRA
3,61.4,1275,PANJABARI
3,62,1289,PANJABARI
3,98,1329,BELTOLA
3,67.8,1423,PANJABARI
3,69.5,1462,PANJABARI
3,6,1070,DHIRENPARA
2,45,800,PALTAN BAZAAR
3,55.5,762,JALUKBARI
2,66.4,780,UZAN BAZAR
2,1,900,AZARA
3,56.5,1078,BARSAPARA
3,150,2135,ZOO TINIALI
2,40,755,SURVEY
3,49.9,1147,GARCHUK
2,46.4,815,BORAGAON
3,69,1080,BELTOLA
3,70,1100,RUKMINI GAON
2,55,950,RUKMINI GAON
3,52.4,1011,KAHILIPARA
3,60,1350,SIX MILE
3,48,1140,GEETANAGAR
2,41,900,LOKHRA
3,55,1327,GUWAHATI
3,84.6,1410,NARENGI TINALI
2,35.5,642,DHIRENPARA
3,55,1100,DOWNTOWN
3,58,1150,DOWNTOWN
2,44,750,DOWNTOWN
3,60.5,1260,LAL GANESH
3,63,1150,CHANDMARI
3,52.1,851,JALUKBARI
3,95,1350,BELTOLA
2,50,1000,BELTOLA
3,65,1000,JAYANAGAR
3,70,1048,DOWNTOWN
3,65,1013,BETKUCHI
3,93,2000,PANJABARI
2,57.3,1138,NALAPARA
3,92,1450,PANJABARI
3,72,1131,LOKHRA ROAD
2,48.4,1029,KAHILIPARA
3,77.9,1320,BHANGAGARH
3,64.8,1222,LOKHRA ROAD
3,73.5,1362,LOKHRA ROAD
3,63.6,1325,AZARA
2,53.3,1006,LOKHRA ROAD
2,55,1037,LOKHRA ROAD
3,49,1150,RUKMINI GAON
2,41.9,556,JALUKBARI
3,76.9,1040,MANPARA
3,95,1533,GUWAHATI
3,67,1000,REHABARI
3,65,1375,HENGRABARI
2,38,900,LOKHRA
2,35,690,SIX MILE
3,70,1150,HATIGAON
2,43.6,660,GHORAMARA
3,50.4,1335,AZARA
2,44.9,998,BELTOLA
2,50.7,1127,BELTOLA
2,44.9,997,BELTOLA
2,43,956,BELTOLA
3,59.8,1329,BELTOLA
3,73,1623,BELTOLA
3,72.1,1602,BELTOLA
4,95.6,2124,BELTOLA
2,45.1,943,HATIGAON
3,70,1100,GANESHGURI
3,70,1069,NALAPARA
2,39.5,749,GARCHUK
3,75,1250,SILPUKHURI
3,63.2,1465,PANJABARI
4,98.3,1695,SILPUKHURI
3,60,1290,PANDU
2,59.8,1031,KAHILIPARA
3,50.5,1402,LOKHRA
3,56,1150,SUNDARBARI
1,35,600,ZOO TINIALI
2,37.2,826,KAHILIPARA
2,34.2,950,LOKHRA
2,43.8,715,LALMATI
3,56.3,1050,KAHILIPARA
3,64.9,983,HATIGAON
3,48.5,1050,GUWAHATI
3,85.5,1500,BHETAPARA
1,25,300,BHETAPARA
3,74.6,1500,VIP ROAD
3,65,900,VIP ROAD
2,38.4,765,JALUKBARI
2,59,1015,KAHILIPARA
3,43.9,865,JALUKBARI
3,117,2395,JALUKBARI
1,27.9,575,JALUKBARI
2,41.4,830,JALUKBARI
2,54,718,LAL GANESH
3,60,1150,BHETAPARA
2,40,1095,MALIGAON
2,55,1050,GHORAMARA
2,38,703,DHARAPUR
3,47.2,852,DHIRENPARA
2,36.2,545,NOONMATI
3,45.3,696,NOONMATI
3,53,900,VIP ROAD
3,107,960,REHABARI
4,115,1288,CHANDMARI
4,138,1184,REHABARI
3,56.6,1300,ZOO ROAD
2,40,700,KAHILIPARA
3,65,1080,CHANDAN NAGAR
2,42,700,SURVEY
2,41,800,LALMATI
3,50.5,750,LANKESHWAR
3,49,1000,JALUKBARI
2,42,965,GARCHUK
3,66.2,893,KHANAPARA
3,52.4,1204,GARCHUK
3,72.4,1540,KAHILIPARA
2,47,970,PATHAR QUARRY
3,47.8,1098,GARCHUK
3,70,1355,SIX MILE
3,50,1100,BEHARBARI CHARIALI
3,107,958,REHABARI
3,109,1222,CHANDMARI
4,118,1322,CHANDMARI
3,73.8,1539,KAHILIPARA
4,138,1186,REHABARI
2,42.4,738,JALUKBARI
3,59.6,950,DHIRENPARA
3,48,1000,LALMATI
2,33,900,BELTOLA
3,54.5,1213,VIP ROAD
3,41.5,885,JALUKBARI
2,51.1,1090,JALUKBARI
3,66.5,1311,PANJABARI
3,63.1,1314,PANJABARI
3,63.3,1319,PANJABARI
3,53.9,1217,LOKHRA
3,65,1000,ULUBARI
3,120,1360,BELTOLA
3,103,1552,ATHGAON
3,43,1205,GUWAHATI
3,51.6,740,GARCHUK
3,53,1100,BAGHARBARI
1,21,262,KAHIKUCHI
2,39.1,600,GARCHUK
3,60,1350,JATIA
4,128,2170,BHANGAGARH
2,49.4,772,BELTOLA
4,114,2378,BELTOLA
3,66.3,983,BELTOLA
3,120,1360,BELTOLA
3,78,1558,BHETAPARA
3,95,880,KAHILPARA
3,60,805,HATIGAON
3,61,834,HATIGAON
3,60.8,1413,SOUTH SARANIA
3,65.7,1313,KAHILIPARA
3,66,965,BELTOLA
3,84,1300,NARIKAL BARI
1,25,700,LAL GANESH
3,60.5,1050,BHETAPARA
3,56.2,1000,BHETAPARA
3,41.8,1099,GARCHUK
3,41.6,1095,GARCHUK
3,43.6,1147,GARCHUK
3,44.7,1175,GARCHUK
3,45.3,1191,GARCHUK
3,48.3,1270,GARCHUK
2,32.6,858,GARCHUK
3,41.8,1099,GARCHUK
3,41.6,1095,GARCHUK
3,43.6,1147,GARCHUK
2,38.2,812,LAL GANESH
2,32.6,858,GARCHUK
2,46.6,1083,LAL GANESH
3,45,900,BELTOLA
2,59,1080,ZOO ROAD
3,38,700,HENGRABARI
3,44.7,1175,GARCHUK
3,45.3,1191,GARCHUK
3,48.3,1270,GARCHUK
3,46.4,1220,GARCHUK
3,64,930,DISPUR
3,46.4,1220,GARCHUK
3,60,900,MALIGAON
2,37.6,799,LAL GANESH
2,46,1096,JATIA
3,76.1,1384,BIRUBARI
3,67,1100,BHETAPARA
3,60,1200,GHORAMARA
3,80,1350,SOUTH SARANIA
3,57.8,1193,KHANAPARA
2,30,1000,KAHILIPARA
1,30.4,456,JALUKBARI
2,46,741,JALUKBARI
2,32,1000,KAHILIPARA
3,87,1250,BELTOLA
2,50,900,RUKMINI GAON
3,51,1280,SIX MILE
2,38.3,850,GANDHI BASTI
2,46.8,1040,GANDHI BASTI
2,38.3,850,GANDHI BASTI
2,46.9,1040,GANDHI BASTI
3,58,890,BETKUCHI
2,46.9,1040,GANDHI BASTI
3,56.3,1250,GANDHI BASTI
3,56.3,1250,GANDHI BASTI
3,56.4,1250,GANDHI BASTI
2,51.5,900,SOUTH SARANIA
3,47.6,1252,LOKHRA
2,39.4,633,BETKUCHI
3,74.6,1080,BELTOLA
3,74.6,1080,BELTOLA
3,74.7,1080,BELTOLA
3,73.3,1061,BELTOLA
3,73.3,1061,BELTOLA
3,73.4,1061,BELTOLA
3,48,1063,MALIGAON
3,58,1000,PANJABARI
2,40,750,KAHILIPARA
3,62,1309,PANJABARI
3,78.2,942,ZOO ROAD
2,45,880,KAHILIPARA
2,59.9,1033,KAHILIPARA
3,35,913,KAHIKUCHI
3,70,1200,PANJABARI
4,142,1205,REHABARI
2,50,950,SURVEY
1,21.8,574,LOKHRA
2,54,850,NARENGI TINALI
3,55,1223,JATIA
2,47,660,JATIA
4,144,1196,REHABARI
2,33.2,591,GARCHUK
3,90.8,1211,REHABARI
2,125,1600,KHARGHULI HILLS
2,47,1023,BAMUNIMAIDAM
2,44.3,705,DHIRENPARA
3,64.6,933,JATIA
2,39.7,1045,LOKHRA
3,53.8,1250,LOKHRA
3,62.9,1309,PANJABARI
3,63,1311,PANJABARI
3,63.6,1326,PANJABARI
2,55,900,BELTOLA
3,63,1340,GUWAHATI
3,56,1340,PANJABARI
3,92,1463,BHETAPARA
2,43,831,MALIGAON
2,43.8,633,BETKUCHI
3,86.7,1564,GEETANAGAR
2,50,1000,HATIGAON
3,49.2,886,SATGAON
3,70.8,1361,LALMATI
3,60,1395,LOKHRA
3,82.7,1036,GS ROAD
5,105,1815,ULUBARI
2,50,1050,BELTOLA
2,37.4,675,SATGAON
3,44,761,KALA PAHAR
2,35,610,KALA PAHAR
2,52.1,717,JALUKBARI
1,20,398,AZARA
3,48.4,750,JALUKBARI
3,59.8,1390,LOKHRA
3,70,1456,LOKHRA ROAD
3,64.9,1248,LALMATI
3,149,1985,BELTOLA
3,69.4,1351,KHANAPARA
3,65,1250,BELTOLA
3,74.3,1000,BELTOLA
2,32,850,JALUKBARI
2,35.6,850,JALUKBARI
2,30,780,JALUKBARI
2,33.6,780,JALUKBARI
2,31,821,JALUKBARI
2,34.6,821,JALUKBARI
3,38,990,JALUKBARI
3,41.6,990,JALUKBARI
3,39,1021,JALUKBARI
3,42.6,1021,JALUKBARI
3,40,1050,JALUKBARI
3,43.6,1050,JALUKBARI
3,77,878,BIRUBARI
3,75,1200,VIP ROAD
3,60,1246,BHETAPARA
3,53.6,645,JALUKBARI
2,47,1100,VIP ROAD
3,54,836,KHANAPARA
2,60,1000,REHABARI
3,50,1350,JATIA
1,22,455,LAL GANESH
2,55,1106,CHRISTIAN BASTI
2,39.9,708,LAL GANESH
3,74.4,1370,BELTOLA
3,57.8,1194,KHANAPARA
3,68.3,1250,BELTOLA
